IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
131.186.37.49	2095	2095	FALSE	SIN	Asia Pacific	Singapore	196	9.42
138.3.215.11	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	186	9.41
132.145.121.34	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	201	9.41
158.101.155.115	2083	2083	TRUE	LAX	North America	Los Angeles	278	9.4
144.21.61.29	443	443	TRUE	FRA	Europe	Frankfurt	178	9.4
158.101.84.123	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	82	9.4
158.101.90.190	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	90	9.4
129.146.46.164	443	443	TRUE	LAX	North America	Los Angeles	216	9.4
141.144.197.254	443	443	TRUE	FRA	Europe	Frankfurt	172	9.38
150.230.107.94	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	89	9.38
158.101.147.4	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	184	9.37
131.186.63.35	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	155	9.37
151.145.69.174	80	80	FALSE	SIN	Asia Pacific	Singapore	150	9.36
132.145.120.118	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	93	9.36
132.145.120.103	2083	2083	TRUE	SIN	Asia Pacific	Singapore	164	9.36
158.101.158.251	2086	2086	FALSE	LAX	North America	Los Angeles	232	9.36
132.145.120.182	2086	2086	FALSE	SIN	Asia Pacific	Singapore	199	9.35
131.186.44.38	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	189	9.35
141.147.174.190	8443	8443	TRUE	LAX	North America	Los Angeles	198	9.35
168.138.212.175	2087	2087	TRUE	LAX	North America	Los Angeles	200	9.34
129.159.197.137	8443	443	TRUE	FRA	Europe	Frankfurt	165	9.34
132.145.112.168	80	80	FALSE	HKG	Asia Pacific	Hong Kong	160	9.34
144.24.78.162	443	443	TRUE	ICN	Asia Pacific	Seoul	91	9.33
168.138.196.164	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	151	9.33
132.145.115.17	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	94	9.32
158.101.207.224	443	443	TRUE	FRA	Europe	Frankfurt	174	9.32
168.138.200.155	2083	2083	TRUE	SIN	Asia Pacific	Singapore	198	9.31
141.147.166.189	2087	0	TRUE	SIN	Asia Pacific	Singapore	166	9.3
152.70.52.215	443	443	TRUE	AMS	Europe	Amsterdam	207	9.3
140.238.60.177	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	156	9.29
131.186.58.151	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	129	9.29
131.186.59.232	80	80	FALSE	HKG	Asia Pacific	Hong Kong	138	9.29
131.186.60.162	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	145	9.28
132.145.126.204	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	78	9.27
158.101.94.15	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	129	9.27
132.145.114.250	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	189	9.27
131.186.59.232	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	150	9.27
138.3.212.226	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	143	9.26
158.101.139.42	2095	2095	FALSE	LAX	North America	Los Angeles	232	9.25
151.145.69.174	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	187	9.25
158.101.145.246	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	156	9.25
150.230.105.228	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	189	9.23
138.3.217.39	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	161	9.21
158.101.136.239	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	224	9.21
158.101.94.15	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	131	9.19
141.147.191.132	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	175	9.19
144.21.34.88	443	443	TRUE	FRA	Europe	Frankfurt	192	9.19
150.230.99.173	8443	8443	TRUE	SIN	Asia Pacific	Singapore	210	9.19
151.145.75.28	80	80	FALSE	NRT	Asia Pacific	Tokyo	91	9.18
152.70.52.9	443	443	TRUE	FRA	Europe	Frankfurt	185	9.18
141.147.175.230	2095	2095	FALSE	SIN	Asia Pacific	Singapore	161	9.18
151.145.74.56	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	231	9.18
131.186.60.162	80	80	FALSE	NRT	Asia Pacific	Tokyo	77	9.17
132.145.125.165	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	125	9.16
140.238.59.255	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	188	9.14
158.101.133.129	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	88	9.14
138.3.212.226	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	160	9.13
158.101.146.165	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	213	9.13
132.145.121.242	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	134	9.12
158.101.95.113	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	194	9.12
158.101.159.212	2086	2086	FALSE	LAX	North America	Los Angeles	180	9.11
138.3.216.67	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	149	9.1
193.123.37.22	443	443	TRUE	FRA	Europe	Frankfurt	183	9.1
141.147.191.211	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	163	9.1
141.147.96.100	443	443	TRUE	FRA	Europe	Frankfurt	202	9.08
151.145.68.166	2082	2082	FALSE	SIN	Asia Pacific	Singapore	200	9.06
132.145.125.86	80	80	FALSE	HKG	Asia Pacific	Hong Kong	198	9.06
151.145.70.28	80	80	FALSE	SIN	Asia Pacific	Singapore	195	9.06
144.21.55.17	443	443	TRUE	FRA	Europe	Frankfurt	175	9.04
141.147.182.70	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	92	9.03
130.61.109.6	2053	443	TRUE	FRA	Europe	Frankfurt	165	9.01
131.186.41.255	8880	8880	FALSE	LAX	North America	Los Angeles	202	9.01
140.238.54.149	8443	8443	TRUE	LAX	North America	Los Angeles	234	9.01
138.3.215.11	80	80	FALSE	HKG	Asia Pacific	Hong Kong	146	9.01
151.145.66.219	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	131	9.01
141.147.181.148	2087	2087	TRUE	LAX	North America	Los Angeles	230	9
